"","solID","mape","decomp.rssd","nrmse","nrmse_train","display_thetas","paid_search_thetas","social_thetas","tv_thetas","display_alphas","paid_search_alphas","social_alphas","tv_alphas","display_gammas","paid_search_gammas","social_gammas","tv_gammas","cluster","n","top_sol"
"41","2_258_1",0,0.426518536893116,0.202348382803951,0.202348382803951,0.450216223241597,0.98889366766803,0.690644406768138,0.506132934296486,0.926469733061702,0.544538343488805,0.0273036874136196,0.205278140987982,0.76992683881171,0.493146601742847,0.625515434366844,0.470848223046847,3,37,FALSE
"42","2_276_1",0,0.366037249154761,0.202637690752559,0.202637690752559,0.465384588259982,0.973464225498615,0.656054026770461,0.502981590696463,0.843063546711892,0.544299093648964,0.256472036134091,0.283739363210892,0.946939193486554,0.490135567392324,0.603330545468958,0.482783446103148,3,37,FALSE
"43","2_288_1",0,0.540714347983584,0.201477756653783,0.201477756653783,0.450216223241597,0.278930139886269,0.774690908319265,0.506132934296486,0.926469733061702,0.544538343488805,0.490545755697946,0.205278140987982,0.76992683881171,0.612995795805374,0.282929486360462,0.470848223046847,1,26,FALSE
"44","2_290_1",0,0.329358697517422,0.202611032487896,0.202611032487896,0.642987001822443,0.917593608327618,0.610760805815271,0.732275155480779,0.749567645274395,0.600747975498369,0.165909296471227,0.198794719808717,0.767666684819248,0.575659134687976,0.686159648443123,0.163173601665698,3,37,FALSE
"45","2_303_1",0,0.836694946358179,0.200213443529506,0.200213443529506,0.382302062976541,0.24932515876234,0.839231391693101,0.022008095654357,0.924547591598146,0.649588097698092,0.764251427253162,0.946757896213726,0.404926110050307,0.818953833354214,0.20445271317421,0.68887814940626,1,26,FALSE
"46","2_306_1",0,0.309266862884344,0.202171533757992,0.202171533757992,0.465384588259982,0.652925767786226,0.656651365796588,0.686168852727548,0.843063546711892,0.620649756283218,0.256472036134091,0.369773108123993,0.946939193486554,0.495408082576413,0.603330545468958,0.238601384567434,3,37,FALSE
"47","2_320_1",0,0.338583807361305,0.202422726547212,0.202422726547212,0.434439050773136,0.917593608327618,0.610760805815271,0.732275155480779,0.749567645274395,0.639820073334321,0.165909296471227,0.198794719808717,0.767666684819248,0.575659134687976,0.686159648443123,0.163173601665698,3,37,FALSE
"48","2_325_1",0,0.49403734086373,0.202028391602469,0.202028391602469,0.496843837728431,0.594087263492726,0.641300414705096,0.663285489573368,0.848981158981129,0.604613804712461,0.354169079175368,0.46425747198638,0.768481376404002,0.495905663492604,0.648131772753292,0.297584078675413,3,37,FALSE
"49","2_333_1",0,0.806051754891983,0.200215840923865,0.200215840923865,0.382302062976541,0.24932515876234,0.839231391693101,0.224638180565619,0.924547591598146,0.649588097698092,0.764251427253162,0.946757896213726,0.404926110050307,0.818953833354214,0.20445271317421,0.68887814940626,1,26,FALSE
"50","2_339_1",0,0.339706308718203,0.201122944202627,0.201122944202627,0.491327454821623,0.496076272913477,0.695076355136389,0.775080245171355,0.994886619739515,0.574164933069394,0.342620863591294,1,0.49632856199385,0.644282096961219,0.559738062687849,0.0956357967685336,2,24,FALSE
"51","2_346_1",0,0.475917190764641,0.20222867088475,0.20222867088475,0.460236922110561,0.63695623709742,0.504339795714458,0.704173552401327,0.833916891099926,0.627237638657254,0.236401304376072,0.345520043034377,0.888313681999562,0.49803874912209,0.61113902052022,0.280241241565941,3,37,FALSE
"52","2_347_1",0,0.405375931546685,0.201627996683527,0.201627996683527,0.518698926963898,0.528380350979101,0.659929074035593,0.721815626927408,0.968584551537317,0.545344559491004,0.146332669031398,0.840646881893537,0.58750559073862,0.46736451887028,0.582131012455366,0.218290952800571,2,24,FALSE
"53","2_350_1",0,0.320785277846924,0.202893388594452,0.202893388594452,0.616346715582135,1,0.677466571540613,0.732275155480779,0.933637487358302,0.416811370523994,0.154868459396007,0.263561852340894,0.910344392016405,0.492153716526192,0.615476360742932,0.283148745512572,3,37,FALSE
"54","2_359_1",0,0.916916017803747,0.200215665053387,0.200215665053387,0.447537779284877,0.0891813735775744,0.312355846334254,0.862104562349304,0.93830667938825,0.632262870720596,0.767183494882838,0.562936653506433,0.263120246041406,0.769621105241744,1,0.152429081645551,2,24,FALSE
"55","2_365_1",0,0.274508609469834,0.201588179441688,0.201588179441688,0.423152290213365,0.571384846518657,0.581221881835321,0.469943382815487,0.292009510933796,0.609467980949968,0.325805420197182,0.615795442252285,0.919487880999655,0.629717996753118,0.534943594546705,0.0629903718738826,3,37,FALSE
"56","2_375_1",0,0.874418657192714,0.200576071981605,0.200576071981605,0.358764948020858,0.427204314895623,0.885498716742453,0.121286939785355,0.977245061789584,0.628712915189135,0.435676519350462,0.746466079005303,0.330595733392113,0.769312179024942,0.56112396126017,0.628721302892766,2,24,FALSE
"57","2_377_1",0,0.563395729572642,0.200522466034569,0.200522466034569,0.376901254121625,0.0474884469507671,1,0.721815626927408,0.968584551537317,0.660835483505957,0.99142448131533,0.997098455089648,0.58750559073862,0.900024639761261,0.0155956678656988,0.218290952800571,1,26,FALSE
"58","2_379_1",0,0.760363826287805,0.200570462959998,0.200570462959998,0.400482326891199,0.221857537506007,0.947713360229986,0.399103864711438,0.91028772421946,0.660550839672902,0.813360268744061,0.849016547433988,0.511510384674914,0.834897577958064,0.155207649047057,0.731363192638763,1,26,FALSE
"59","2_387_1",0,0.440478400336129,0.200920625539932,0.200920625539932,0.401356727175642,0.15208442771192,0.687578025746744,0.557921997144995,0.967875882160814,0.739947666641305,0.398770787746155,0.900840166927177,0.54602059091069,0.503646387443944,0.560843063990253,0.202548975192405,2,24,TRUE
"60","2_389_1",0,0.870824638843873,0.200239928349123,0.200239928349123,0.447537779284877,0.0891813735775744,0.467216242992155,0.691159612708057,0.908960143185487,0.632262870720596,0.767183494882838,0.947868725460229,0.263120246041406,0.769621105241744,0.937322736146222,0.285122980886164,2,24,FALSE
"61","2_394_1",0,0.587208110824467,0.201072354263753,0.201072354263753,0.50009779238414,0.164955726743556,0.8475922814652,0.281287451275104,0.9479125594203,0.535840539083118,0.786191363273786,0.234855375278153,0.766888539519523,1,0.00274462307334725,0.550511478152221,1,26,FALSE
"62","2_395_1",0,0.258751233007369,0.202207916026063,0.202207916026063,0.538593934905269,0.865525510574281,0.581221881835321,1,0.401282631916193,0.409609951500059,0.0674225274209216,0.615795442252285,0.901941202663927,0.610413420280585,0.534943594546705,0.0629903718738826,3,37,FALSE
"63","2_396_1",0,0.444924546191069,0.200651301162706,0.200651301162706,0.398918568005815,0.330045280567117,0.802715386536511,0.686168852727548,0.908250782620896,0.643800429389727,0.662695549091085,0.369773108123993,0.513328726737557,0.754244683198654,0.284228279610911,0.238601384567434,1,26,TRUE
"64","2_404_1",0,0.612967532963321,0.201007272381127,0.201007272381127,0.423600354079604,0.310553408403382,0.747914186995338,0.306799676880656,0.951214120903202,0.58517522067504,0.617519939699405,0.423971479843877,0.583331958236745,0.658160641760698,0.269115757679297,0.506179607072656,1,26,FALSE
"65","2_405_1",0,0.505841098120297,0.201074304878682,0.201074304878682,0.358764948020858,0.151716482948882,0.885498716742453,0.929522488866322,0.994184546105951,0.795458903205714,0.807899142284242,0.29376825769924,0.710382594467292,0.694240061643938,0.56666755588319,0.104508662615057,1,26,FALSE
"66","2_408_1",0,0.827788989533622,0.200625528295876,0.200625528295876,0.441590673238946,0.32793883947618,0.547072893695788,0.305418238595228,0.775865573742397,0.755301526233509,0.517326331180625,0.636647268007982,0.343601242318288,0.5604607708769,0.818298117579756,1,2,24,FALSE
"67","2_412_1",0,0.585413818601826,0.20110712584013,0.20110712584013,0.421881029648984,0.458396585106782,0.660415010059551,0.517757912822509,0.980475752977082,0.554783136243478,0.44762667444799,0.653676836696937,0.503576789368526,0.65128494397561,0.411250195650348,0.258051621124274,2,24,FALSE
"68","2_415_1",0,0.448872259340167,0.201942819851106,0.201942819851106,0.496843837728431,0.479185557103949,0.447920241582612,0.581012906482342,0.848981158981129,0.604613804712461,0.393945027329941,0.70009710937088,0.768481376404002,0.482522717413239,0.846229515119793,0.202507097689516,2,24,FALSE
"69","2_418_1",0,0.40106393226188,0.201883111050451,0.201883111050451,0.406960829834088,0.75127524321521,0.902233470751054,0.711099485982136,0.997609523573689,0.549661593513261,0.771725282776256,0.828256739791706,0.685241317572014,0.646729059304613,0.0151703951317091,0.216056333300225,1,26,FALSE
"70","2_420_1",0,0.419232283014699,0.20221306967115,0.20221306967115,0.509641400845343,0.81471922426965,0.562467277018384,0.96982483876466,0.736582242422166,0.711063393183377,0.157179065199558,0.570608013902929,0.762585207572775,0.603948176085922,0.531417317020924,0.153827163706291,3,37,FALSE
